product_id,product_name,product_price,reviews,created_by,environmental impact,labor rights,animal welfare,corporate governance,sentiment,sentiment_score,category
BE100014,Beauty Hospital 14,378.99,Very affordable and effective product. | Helped improve my skin glow. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Bottle design is very convenient. | Caused breakouts after a week.,Newman-Green,29,79,90,97,negative,18,Beauty
BE100015,Beauty Several 15,43.74,"Moisturizes well and feels refreshing. | Caused irritation on my skin. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Bottle design is very convenient.","Hunter, Gilbert and Ramos",85,69,50,69,positive,73,Beauty
BE100016,Beauty Return 16,551.54,"Too oily and sticky after use. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin. | Helped improve my skin glow. | Very affordable and effective product. | Caused breakouts after a week. | Bottle design is very convenient. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Caused irritation on my skin. | Perfect for daily skincare routine. | Doesn’t last long, fades quickly.",Moore Inc,27,50,45,31,neutral,60,Beauty
BE100017,Beauty Throw 17,395.58,"Not suitable for sensitive skin. | Helped improve my skin glow. | Caused irritation on my skin. | Caused breakouts after a week. | Moisturizes well and feels refreshing. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Too oily and sticky after use.",Green-Thomas,57,66,49,75,negative,22,Beauty
BE100018,Beauty Yes 18,472.23,"Caused breakouts after a week. | Perfect for daily skincare routine. | Caused irritation on my skin. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Very affordable and effective product. | Helped improve my skin glow. | Too oily and sticky after use.",Callahan-Jones,81,53,53,34,positive,77,Beauty
BE100019,Beauty Win 19,953.57,"Bottle design is very convenient. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Helped improve my skin glow. | Not suitable for sensitive skin. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use.",Brown Inc,47,21,65,59,neutral,40,Beauty
BE100020,Beauty Claim 20,219.43,"Too oily and sticky after use. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Bottle design is very convenient. | Caused breakouts after a week. | Texture is smooth and easy to apply. | Very affordable and effective product. | Caused irritation on my skin. | Helped improve my skin glow. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant.",Everett and Sons,29,86,88,60,negative,35,Beauty
BE100021,Beauty Meeting 21,254.54,Not suitable for sensitive skin. | Caused breakouts after a week. | Very affordable and effective product. | Helped improve my skin glow. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Caused irritation on my skin.,Barnett-Collins,64,91,24,88,positive,84,Beauty
BE100022,Beauty Set 22,888.26,"Perfect for daily skincare routine. | Not suitable for sensitive skin. | Caused irritation on my skin. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Very affordable and effective product. | Caused breakouts after a week. | Bottle design is very convenient. | Too oily and sticky after use.",Marshall-Anderson,84,71,80,88,neutral,55,Beauty
BE100023,Beauty Behavior 23,786.68,"Very affordable and effective product. | Doesn’t last long, fades quickly. | Too oily and sticky after use. | Perfect for daily skincare routine. | Caused irritation on my skin. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Caused breakouts after a week. | Bottle design is very convenient.",Greene-Anderson,86,26,57,25,negative,5,Beauty
BE100024,Beauty Site 24,685.58,"Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Helped improve my skin glow. | Caused irritation on my skin. | Too oily and sticky after use. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Caused breakouts after a week. | Bottle design is very convenient.",Sutton Ltd,28,95,47,86,positive,72,Beauty
BE100025,Beauty My 25,602.61,Texture is smooth and easy to apply. | Bottle design is very convenient. | Very affordable and effective product. | Fragrance is long-lasting and pleasant. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Helped improve my skin glow. | Not suitable for sensitive skin. | Caused breakouts after a week. | Too oily and sticky after use.,Carr-Morales,24,38,45,52,neutral,65,Beauty
BE100026,Beauty From 26,235.1,"Very affordable and effective product. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Helped improve my skin glow. | Caused breakouts after a week.",Taylor Ltd,29,34,80,62,negative,37,Beauty
BE100027,Beauty White 27,662.97,"Caused irritation on my skin. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Very affordable and effective product. | Helped improve my skin glow. | Doesn’t last long, fades quickly. | Bottle design is very convenient. | Perfect for daily skincare routine. | Too oily and sticky after use. | Not suitable for sensitive skin. | Moisturizes well and feels refreshing. | Caused breakouts after a week.",Fields LLC,31,97,42,40,positive,91,Beauty
BE100028,Beauty Avoid 28,337.04,"Bottle design is very convenient. | Texture is smooth and easy to apply. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Caused breakouts after a week. | Not suitable for sensitive skin. | Caused irritation on my skin. | Very affordable and effective product.",Daniels PLC,77,67,65,84,neutral,47,Beauty
BE100029,Beauty Bank 29,76.95,"Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant. | Caused breakouts after a week. | Moisturizes well and feels refreshing. | Caused irritation on my skin. | Helped improve my skin glow. | Too oily and sticky after use. | Bottle design is very convenient. | Texture is smooth and easy to apply. | Very affordable and effective product. | Perfect for daily skincare routine.",Perry-Anderson,40,33,49,36,negative,17,Beauty
BE100030,Beauty Risk 30,751.28,"Caused breakouts after a week. | Very affordable and effective product. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin. | Perfect for daily skincare routine. | Caused irritation on my skin. | Bottle design is very convenient.","Evans, Garcia and Day",40,22,86,27,positive,98,Beauty
BE100031,Beauty However 31,401.55,"Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Helped improve my skin glow. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Bottle design is very convenient. | Caused irritation on my skin. | Not suitable for sensitive skin. | Moisturizes well and feels refreshing. | Too oily and sticky after use. | Perfect for daily skincare routine.",Simmons and Sons,84,69,52,83,neutral,52,Beauty
BE100032,Beauty Yourself 32,251.08,"Very affordable and effective product. | Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Bottle design is very convenient. | Caused breakouts after a week. | Not suitable for sensitive skin. | Too oily and sticky after use. | Moisturizes well and feels refreshing. | Helped improve my skin glow.",Duncan LLC,22,73,22,47,negative,2,Beauty
BE100033,Beauty Doctor 33,113.63,"Perfect for daily skincare routine. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Not suitable for sensitive skin. | Too oily and sticky after use. | Fragrance is long-lasting and pleasant. | Caused breakouts after a week. | Moisturizes well and feels refreshing. | Caused irritation on my skin.","Heath, Mcdonald and Anderson",88,25,88,32,positive,72,Beauty
BE100034,Beauty Lose 34,537.4,"Caused irritation on my skin. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use. | Helped improve my skin glow. | Perfect for daily skincare routine. | Bottle design is very convenient. | Moisturizes well and feels refreshing.",Copeland-Sullivan,83,68,61,32,neutral,44,Beauty
BE100035,Beauty Condition 35,696.19,"Caused irritation on my skin. | Not suitable for sensitive skin. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Bottle design is very convenient. | Caused breakouts after a week.",Beck-Waller,68,42,81,57,negative,10,Beauty
BE100036,Beauty None 36,183.1,"Not suitable for sensitive skin. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Perfect for daily skincare routine. | Caused breakouts after a week. | Doesn’t last long, fades quickly. | Bottle design is very convenient. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin.","Mcdowell, Bailey and Salinas",91,97,77,44,positive,73,Beauty
BE100037,Beauty Congress 37,458.07,Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Not suitable for sensitive skin. | Too oily and sticky after use. | Bottle design is very convenient. | Fragrance is long-lasting and pleasant. | Helped improve my skin glow.,Bird-Farmer,36,97,76,81,neutral,68,Beauty
BE100038,Beauty World 38,30.3,"Not suitable for sensitive skin. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant. | Very affordable and effective product. | Bottle design is very convenient. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Helped improve my skin glow. | Too oily and sticky after use. | Texture is smooth and easy to apply.",Hawkins-Bender,92,39,20,42,negative,2,Beauty
BE100039,Beauty Movie 39,481.69,Too oily and sticky after use. | Caused irritation on my skin. | Not suitable for sensitive skin. | Helped improve my skin glow. | Caused breakouts after a week. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient.,"Macdonald, Jefferson and Gilmore",51,96,92,40,positive,91,Beauty
BE100040,Beauty Sport 40,879.93,"Very affordable and effective product. | Caused breakouts after a week. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Helped improve my skin glow. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Bottle design is very convenient. | Not suitable for sensitive skin. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use.",Cooper PLC,89,79,79,73,neutral,46,Beauty
BE100041,Beauty Race 41,428.45,"Caused breakouts after a week. | Caused irritation on my skin. | Helped improve my skin glow. | Bottle design is very convenient. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Perfect for daily skincare routine. | Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant.",Green and Sons,40,64,88,82,negative,32,Beauty
BE100042,Beauty Compare 42,870.23,"Moisturizes well and feels refreshing. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Not suitable for sensitive skin. | Too oily and sticky after use. | Helped improve my skin glow. | Very affordable and effective product. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient.",Moore-Turner,26,80,78,49,positive,71,Beauty
BE100043,Beauty At 43,168.27,"Very affordable and effective product. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Caused breakouts after a week. | Not suitable for sensitive skin. | Bottle design is very convenient. | Perfect for daily skincare routine.",Allen-Farrell,26,75,65,94,neutral,62,Beauty
BE100044,Beauty According 44,602.54,"Moisturizes well and feels refreshing. | Caused breakouts after a week. | Caused irritation on my skin. | Too oily and sticky after use. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Bottle design is very convenient. | Very affordable and effective product. | Doesn’t last long, fades quickly.","Joseph, Kelly and Harper",46,21,53,87,negative,5,Beauty
BE100045,Beauty When 45,397.5,"Moisturizes well and feels refreshing. | Caused breakouts after a week. | Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Very affordable and effective product. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Helped improve my skin glow. | Not suitable for sensitive skin. | Too oily and sticky after use. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient.",Steele PLC,27,64,44,95,positive,84,Beauty
BE100046,Beauty Policy 46,988.32,"Caused irritation on my skin. | Texture is smooth and easy to apply. | Caused breakouts after a week. | Perfect for daily skincare routine. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Too oily and sticky after use. | Helped improve my skin glow. | Very affordable and effective product. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant.",Archer-Ortiz,92,59,61,92,neutral,58,Beauty
BE100047,Beauty Week 47,124.8,"Caused breakouts after a week. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Very affordable and effective product. | Caused irritation on my skin. | Helped improve my skin glow. | Bottle design is very convenient. | Not suitable for sensitive skin. | Too oily and sticky after use. | Doesn’t last long, fades quickly. | Moisturizes well and feels refreshing. | Perfect for daily skincare routine.",Lambert Ltd,47,43,48,51,negative,18,Beauty
BE100048,Beauty Society 48,436.46,"Too oily and sticky after use. | Perfect for daily skincare routine. | Caused breakouts after a week. | Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Not suitable for sensitive skin. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Helped improve my skin glow. | Bottle design is very convenient. | Very affordable and effective product.","Clark, Wilkerson and Smith",98,48,44,94,positive,96,Beauty
BE100049,Beauty Run 49,989.48,"Moisturizes well and feels refreshing. | Perfect for daily skincare routine. | Not suitable for sensitive skin. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use. | Bottle design is very convenient. | Caused breakouts after a week. | Caused irritation on my skin. | Helped improve my skin glow.","Baker, Roberson and Salazar",85,86,73,43,neutral,41,Beauty
BE100050,Beauty Culture 50,141.1,"Helped improve my skin glow. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Bottle design is very convenient. | Caused breakouts after a week. | Caused irritation on my skin. | Fragrance is long-lasting and pleasant.",Hudson-Evans,90,87,92,26,negative,38,Beauty
BE100051,Beauty Vote 51,555.1,"Bottle design is very convenient. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Very affordable and effective product. | Not suitable for sensitive skin. | Too oily and sticky after use. | Perfect for daily skincare routine. | Helped improve my skin glow. | Caused irritation on my skin. | Fragrance is long-lasting and pleasant. | Moisturizes well and feels refreshing. | Caused breakouts after a week.",Garcia-Suarez,66,85,86,91,positive,99,Beauty
BE100052,Beauty Seven 52,822.28,"Doesn’t last long, fades quickly. | Caused breakouts after a week. | Very affordable and effective product. | Perfect for daily skincare routine. | Not suitable for sensitive skin. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient. | Helped improve my skin glow.",Brennan Inc,29,73,34,20,neutral,56,Beauty
BE100053,Beauty Eat 53,663.28,"Doesn’t last long, fades quickly. | Caused breakouts after a week. | Very affordable and effective product. | Bottle design is very convenient. | Caused irritation on my skin. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Texture is smooth and easy to apply. | Not suitable for sensitive skin. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use.",Tapia-Thomas,52,72,23,22,negative,2,Beauty
BE100054,Beauty Value 54,296.98,"Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Very affordable and effective product. | Bottle design is very convenient. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Too oily and sticky after use.","Ramirez, Stanley and Moore",26,98,57,47,positive,83,Beauty
BE100055,Beauty Middle 55,490.06,"Bottle design is very convenient. | Caused breakouts after a week. | Very affordable and effective product. | Too oily and sticky after use. | Caused irritation on my skin. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine.",Henry and Sons,22,68,39,62,neutral,48,Beauty
BE100056,Beauty Product 56,171.57,Bottle design is very convenient. | Too oily and sticky after use. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Caused breakouts after a week.,"Smith, Daniels and Jones",33,51,42,65,negative,16,Beauty
BE100057,Beauty Still 57,675.79,"Doesn’t last long, fades quickly. | Not suitable for sensitive skin. | Too oily and sticky after use. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient. | Caused breakouts after a week. | Caused irritation on my skin. | Very affordable and effective product.",Landry Ltd,63,80,56,20,positive,83,Beauty
BE100058,Beauty She 58,20.92,"Too oily and sticky after use. | Helped improve my skin glow. | Perfect for daily skincare routine. | Not suitable for sensitive skin. | Texture is smooth and easy to apply. | Caused irritation on my skin. | Bottle design is very convenient. | Very affordable and effective product. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly.","Gonzales, Schmidt and Ali",65,61,81,57,neutral,62,Beauty
BE100059,Beauty Reflect 59,84.89,"Caused breakouts after a week. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Bottle design is very convenient. | Caused irritation on my skin. | Very affordable and effective product.","Ho, Gates and Nguyen",80,20,27,54,negative,4,Beauty
BE100060,Beauty College 60,769.49,"Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Too oily and sticky after use. | Bottle design is very convenient. | Caused breakouts after a week. | Caused irritation on my skin. | Not suitable for sensitive skin. | Helped improve my skin glow. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine.",Lang PLC,55,82,56,93,positive,85,Beauty
BE100061,Beauty Sense 61,69.62,"Perfect for daily skincare routine. | Caused irritation on my skin. | Fragrance is long-lasting and pleasant. | Caused breakouts after a week. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly.",Scott LLC,32,54,64,95,neutral,56,Beauty
BE100062,Beauty But 62,302.96,"Moisturizes well and feels refreshing. | Bottle design is very convenient. | Too oily and sticky after use. | Very affordable and effective product. | Caused breakouts after a week. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin.",Moss-Parker,35,70,52,93,negative,20,Beauty
BE100063,Beauty Mouth 63,846.94,"Bottle design is very convenient. | Very affordable and effective product. | Texture is smooth and easy to apply. | Caused irritation on my skin. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Too oily and sticky after use. | Caused breakouts after a week. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant.",Ward PLC,99,90,26,73,positive,86,Beauty
BE100064,Beauty Number 64,54.64,"Very affordable and effective product. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Bottle design is very convenient. | Perfect for daily skincare routine. | Caused breakouts after a week. | Doesn’t last long, fades quickly.","Dean, Stewart and Smith",24,64,41,43,neutral,65,Beauty
BE100065,Beauty Unit 65,33.16,Texture is smooth and easy to apply. | Helped improve my skin glow. | Very affordable and effective product. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient. | Too oily and sticky after use. | Caused irritation on my skin. | Not suitable for sensitive skin. | Moisturizes well and feels refreshing. | Caused breakouts after a week.,"Novak, Evans and Burton",57,96,24,47,negative,18,Beauty
BE100066,Beauty Attack 66,946.65,"Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin. | Caused breakouts after a week. | Very affordable and effective product. | Caused irritation on my skin. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply.",Garcia-Graham,69,84,34,41,positive,88,Beauty
BE100067,Beauty Evening 67,925.64,"Very affordable and effective product. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant. | Moisturizes well and feels refreshing. | Caused irritation on my skin. | Caused breakouts after a week. | Too oily and sticky after use. | Helped improve my skin glow. | Texture is smooth and easy to apply.","Contreras, Jones and Berg",57,33,40,35,neutral,47,Beauty
BE100068,Beauty Magazine 68,669.27,"Very affordable and effective product. | Fragrance is long-lasting and pleasant. | Moisturizes well and feels refreshing. | Bottle design is very convenient. | Doesn’t last long, fades quickly. | Not suitable for sensitive skin. | Caused breakouts after a week. | Helped improve my skin glow. | Perfect for daily skincare routine. | Too oily and sticky after use. | Caused irritation on my skin.",Harris-Hunter,75,22,36,32,negative,16,Beauty
BE100069,Beauty Yet 69,314.64,"Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Too oily and sticky after use. | Bottle design is very convenient. | Caused breakouts after a week. | Moisturizes well and feels refreshing. | Caused irritation on my skin. | Texture is smooth and easy to apply. | Very affordable and effective product. | Helped improve my skin glow.",Green Group,82,43,75,81,positive,95,Beauty
